rewardType,icon,type,technologyLabel,customPage,startTime,id,state,introduction,HostName,reward,totalUserNumber,level,mold,industryLabel,name,miniAppState,endTime
奖金,http://third.datacastle.cn/content/disk/share/img/28a591fa-30d6-402a-958f-2ab6e3fc229c.png,结果提交型,回归,,1539586800000,262,joinable,<p>太阳能被看作是最具有代表性的新能源，而其中太阳辐射是影响太阳能发电量的最主要因素。由于收到包括地理位置、太阳高度角、方位角、时角等时空要素，云量、云态、大气状态等气象要素的影响，太阳辐射预测一直是光伏发电量预测的关键。通过数值天气预报系统，可以通过对中尺度系统的模拟得到较为精细的辐射预报数据，然而预测信息中仍然存在冗余信息，单独使用辐射数据并不能精确地预报实际太阳辐射。</p><p><br></p>,国能日新科技股份有限公司,90000,619,,竞技赛,工业,国能日新太阳辐射指数预测大赛,3,1542074400000
奖金,http://third.datacastle.cn/content/disk/share/img/1d1b1604-fc99-43ab-92eb-b5bcdfb25062.png,结果提交型,回归,,1539187200000,261,joinable,<p>美国东北大学一个科研团队的一项研究表明，人类93%的行为都是可以预测的，想一想我们的规律生活，就会觉得这个数字并不是那么夸张。也正因如此， 交通才得以合理规划，城市才得以有序发展。 在实际应用中，其实并没有那么容易预测，数据的缺乏是一个重要的原因。那么在有限的数据下，我们能够在多大程度上预测出人们的行为呢？<br></p>,合肥数据资源局,20000,1864,,竞技赛,交通,汽车目的地智能预测大赛,3,1544166000000
奖金,http://third.datacastle.cn/content/disk/share/img/7fe7ca0d-41f8-42ec-bcc8-af3109ee66ff.png,结果提交型,回归,,1539187200000,260,joinable,<p>随着全球制造数字化、网络化、智能化的步伐不断加快，我国工业面临转型升级的问题。信息技术与传统工业的深度融合是第四次工业革命的主要发展方向。  本题以某化工厂的某一个工段实际生产数据作为分析案例，数据跨时2个月，共有36个测量变量点(简称测点)的传感器数据，涵盖生产过程中的温度、压力、流量、设备电流等监测数据信息，目的是为了调节生产参数从而提前预测并控制产品的质量。<br></p>,合肥数据资源局,20000,660,,竞技赛,工业,化工产品品质智能预测,3,1544166000000
奖金,http://third.datacastle.cn/content/disk/share/img/5d13b350-4c93-4e32-b499-86d38ff87869.png,结果提交型,分类,,1538150400000,254,joinable,<p>Webshell 就是以asp、php、jsp或者cgi等网页文件形式存在的一种命令执行环境，也可以将其称为一种网页后门。黑客在入侵了一个网站后，通常会将asp或php后门文件与服务器网站web目录下的正常的网页文件混在一起，然后就可以通过使用浏览器来访问这些后门脚本，得到一个命令执行环境，以达到控制网站服务器的目的。Webshell大多以动态脚本的形式存在，黑客可以通过webshell进一步渗透，一旦系统被安装的webshell并能执行，说明系统已经沦陷，属于高危的安全事件。因此如何识别webshell，对于保证系统安全意义重大。<br></p>,合肥数据资源局,20000,691,,竞技赛,网络安全,网络安全病毒检测,3,1544166000000
奖金,http://third.datacastle.cn/content/disk/share/img/4435a301-fd42-4b86-a43d-2ad0b56a39aa.png,结果提交型,分类,,1535126400000,247,joinable,<p>作为全球金融AI第一股，融360|简普科技（NYSE:JT）近年来一直致力于开发基于云端的大数据风控服务平台。现已举办两届天机风控系列赛事，第三届融360天机智能金融算法挑战赛于 2018年8月25日正式启动报名，邀您一同解决价值百亿的经典风控问题，共同探索人工智能领域知识图谱，文本挖掘等热门技术。<br></p>,融360,300000,1818,,竞技赛,金融,第3届 融360天机智能金融算法挑战赛,3,1541433599000
奖金,http://third.datacastle.cn/content/disk/share/img/d4e7afcb-df26-40a5-9f6e-30b72801b97a.jpg,结果提交型,分类,,1535767200000,245,joinable,<p>本次大赛提供了讯飞AI营销云的海量广告投放数据，参赛选手通过人工智能技术构建预测模型预估用户的广告点击概率<br></p><p><br></p>,科大讯飞,60000,1594,,竞技赛,商业,2018科大讯飞AI营销算法大赛,3,1539791999000
奖金,http://third.datacastle.cn/content/disk/share/img/98e8ebae-840d-477f-9275-cd748345347d.jpg,结果提交型,回归,,1530547200000,243,joinable,<p>随着城市里购车人群的增多，道路拥堵情况日益严重：在中国，有大约超过50个城市面临不同程度的拥堵，城市越大拥堵越严重，不只中国，交通问题是世界大型城市的共同顽疾，据相关数据显示，欧盟境内每年因交通拥堵造成的经济损失达到了1000亿欧元。</p>,上海大数据联盟、上海市北高新管委会（上海大数据产业基地）、上汽集团,150000,1631,,竞技赛,交通,BOT智能汽车技术挑战赛——机器学习预测汽车流量,3,1537941600000
奖金,http://third.datacastle.cn/content/disk/share/img/8383a72c-42ff-4f44-b597-e9c97963e21f.png,结果提交型,分类,,1535593800000,242,joinable,"<p><font size=""2"">神策数据推荐系统是基于神策分析平台的智能推荐系统。它针对客户需求和业务特点，并基于神策分析采集的用户行为数据使用机器学习算法来进行咨询、视频、商品等进行个性化推荐，为客户提供不同场景下的智能应用，如优化产品体验，提升点击率等核心的业务指标。&nbsp;</font></p><p><br></p>",神策数据,MacBook Pro,688,,竞技赛,商业,“神策杯”2018高校算法大师赛,3,1539237600000
奖金,http://third.datacastle.cn/content/disk/share/img/78463274-16d8-4ccb-bdbb-02286c42264c.jpeg,结果提交型,,,1539187200000,241,joinable,<p>信用是整个社会的基础，市场交易中所有的经济活动，与信用息息相关。我国小微企业的正处于飞速发展阶段，影响力逐渐扩大，成为社会经济发展的重要推动力。加强融资市场的风险管理与处理能力，降低小微企业的融资风险，促进融资市场的发展，建立完善的融资风险评测体系迫在眉睫，企业的失信与否，关乎整个企业的命运。本届大赛旨在利用大数据和人工智能、机器学习等相关技术，调动社会全员的大数据建模创新积极性，帮助社会各界为解决小微企业融资问题提供思路，进一步提高融资风险防范能力。&nbsp;</p>,国信优易,80000,311,,竞技赛,其他,小微企业失信预测,3,1547136000000
奖金,http://third.datacastle.cn/content/disk/share/img/7e5c5196-a5ec-41e2-8394-d305659816d8.jpeg,结果提交型,,,1539273600000,239,joinable,"<p>企业或者组织为了履行遵守法律法规要求的承诺，建立、实施并保持一个或多个程序，以定期评价对适用法律法规的遵循情况的一项管理措施。随着人类生产力水平的不断提高和社会认识的不断深化，企业合规性问题越来越受到人们的重视和关注，由此促进了各国依法治理工作的深入开展。</p><p>本届大赛从全国3000多万企业抽取部分企业（脱敏后），提供企业主体在多方面留下的合规信息，供参赛队伍分析，实现对企业合规风险的预测。
</p><div><br></div>",国信优易,80000,161,,竞技赛,其他,企业合规风险预测,3,1544371200000
知识,http://third.datacastle.cn/content/disk/share/img/437b6212-3851-41b2-98b0-e0b6c2a48b24.png,结果提交型,,,1537113600000,236,joinable,<p>住房月租金预测大数据赛为全国大学生计算机技能应用大赛赛题之一。<br></p><p><br></p>,中国软件行业协会培训中心,荣誉证书,1041,,竞技赛,城市/环境/民生,住房月租金预测大数据赛（付费竞赛）,3,1543284000000
奖金,http://third.datacastle.cn/content/disk/share/img/8a24c346-be85-46e2-be77-fc5e2d507241.png,结果提交型,分类,,1535007600000,235,joinable,<p>本比赛为“中国华录杯·开放数据创新应用大赛”复赛赛题之一，初赛入围者可参加。</p><p><br></p>,中国华录集团,180000,183,,竞技赛,人力资源,汉字档案手写识别大赛（华录杯复赛）,3,1539586800000
奖金,http://third.datacastle.cn/content/disk/share/img/46407c8a-2645-4496-93f3-b92fde69b221.jpg,结果提交型,分类,,1533088800000,230,joinable,<p>四川新网银行以建设“数字普惠银行”为愿景，运用互联网大数据风控、云计算、人工智能等技术，为客户提供具有高可得性和良好用户体验的金融产品。目前，四川新网银行已经开发出了国内第一款全在线办理的银行大额云授信产品——“好人贷”。新网银行采用了“万能连接”的打法，以开放的姿态提供连接服务，让更大范围内的用户和需求、产品和服务进行连接并适配，做金融服务领域的“万能连接器”。截至2018年6月底，新网银行与超过500多家银行同业、互联网平台机构等产生了连接，服务了超过1500多万用户。<br></p>,西南财经大学、新网银行,31000,1350,,竞技赛,金融,西南财经大学“新网银行杯”数据科学竞赛,3,1540137300000
奖金,http://third.datacastle.cn/content/disk/share/img/2c64c68e-255e-45aa-be31-2c6c18892da9.png,结果提交型,分类,,1530496800000,229,joinable,<p>本次比赛，达观数据提供了一批长文本数据和分类信息，希望选手动用自己的智慧，结合当下最先进的NLP和人工智能技术，深入分析文本内在结构和语义信息，构建文本分类模型，实现精准分类。</p>,达观数据,50000,6318,,竞技赛,媒体,“达观杯”文本智能处理挑战赛,3,1536544800000
奖金,http://third.datacastle.cn/content/disk/share/img/902cb147-cdd3-416e-857f-a7da8f553ce8.png,结果提交型,,,1530147600000,228,joinable,"<p><b><font color=""#880000"">“喜欢足球，因为它从不原地踏步”</font></b><b><font color=""#880000"">“下次不会再看了，是你说过最多的谎话”</font></b></p><p><br></p><p><br></p>",DataCastle数据城堡,10800,285,,竞技赛,其他,抢占C位，燃情世界杯,3,1531666800000
奖金,http://third.datacastle.cn/content/disk/share/img/468d4e04-e5bf-4a45-9f04-37a8e441a6ca.png,结果提交型,回归,,1529370000000,226,joinable,<p>&nbsp;《野蛮时代》（Brutal Age）是一款风靡全球的SLG类型手机游戏。根据App Annie统计，《野蛮时代》在12个国家取得游戏畅销榜第1，在82个国家取得游戏畅销榜前10。准确了解每个玩家的价值，对于游戏的广告投放策略和高效的运营活动（如精准的促销活动和礼包推荐）具有重要意义，有助于给玩家带来更个性化的体验。因此，我们希望能在玩家进入游戏的前期就对于他们的价值进行准确的估算。在这个竞赛里，想请各位选手利用玩家在游戏内前7日的行为数据，预测他们每个人在45日内的付费总金额。&nbsp;&nbsp;<br></p>,tap4fun,100000,2008,,竞技赛,游戏,游戏玩家付费金额预测大赛,3,1535698800000
奖金,http://third.datacastle.cn/content/disk/share/img/42b90113-84d4-4bc6-a127-d827998fe880.jpeg,结果提交型,,,1526918400000,225,joinable,<p>政府治理大数据应用算法大赛是中电科大数据研究院有限公司面向全国高校学生举办的大型技术竞赛，致力于让参赛学生感受大数据应算法的魅力，享受算法设计和数据分析的乐趣，锻炼学生与人沟通和团队协作能力。大赛以“大数据助推政府治理”为主题<br></p><p><br></p>,中电科大数据研究院有限公司,140000,240,,竞技赛,其他,政府治理大数据应用算法大赛,3,1534262400000
奖金,http://third.datacastle.cn/content/disk/share/img/6e759ab3-a740-49c3-8aab-8e21e8dc7ab1.png,结果提交型,"分类,回归",,1526353200000,210,joinable,<p>随着城市车辆的增多，改善交通拥挤的现状成为各大城市交通运输系统的发展目标。智能交通系统是未来城市交通管理和车流量控制的热门研究方向，通过它可以更高效地对交通流进行限制、调整、疏导以改善通行效率、保障交通安全。车辆监测是智能交通系统的重要组成部分。</p>,中国华录集团,50000,1196,,竞技赛,交通,交通卡口车辆信息精准识别,3,1534323600000
奖金,http://third.datacastle.cn/content/disk/share/img/9cd6e013-ab6b-428d-9894-e02cd5a4f352.png,结果提交型,回归,,1526353200000,209,joinable,<p>中国华录杯之公交线路准点预测赛为参赛者提供百余条公交车线路的运行信息，本赛题需要大家准确预测某一辆公交车是否能准时到达各个站点。</p>,中国华录集团,50000,1224,,竞技赛,交通,公交线路准点预测,3,1534312800000
奖金,https://pu-datacastle.obs.cn-north-1.myhuaweicloud.com/content/disk/share/img/282e8650-57db-47bb-983a-7ff68c9178be.png,结果提交型,回归,,1523239200000,207,joinable,<p>晶泰科技(XtalPi)是一家世界领先的以计算驱动创新的药物研发科技公司，应用量子物理、分子动力学、人工智能与云计算等技术，为全球创新药企提供智能化药物研发科技，提高药物发现的效率与成功率，降低研发成本，为患者带来更多优质高效的药物。目前已与多家世界顶级药企与科研机构建立深度合作，晶泰科技还成功的&nbsp;</p>,晶泰科技,50000,1226,,竞技赛,其他,基于人工智能的药物分子筛选,3,1526885999000
奖金,http://third.datacastle.cn/content/disk/share/img/63ee2c55-2e34-41cb-bedb-50b637ba7c5e.jpg,结果提交型,分类,,1523929201000,206,joinable,<p>腾讯社交广告依托于腾讯丰富的产品及海量的数据打造了一个服务千万商家亿万用户的商业广告平台。同时为了满足具有挑战性的商业场景，我们也在不断地寻找更优秀的数据挖掘方式与机器学习算法以及这一领域的人才。这一次，我们出了一道有趣有挑战性的实战题目希望挑选出更优秀的满足业务需求的算法，并邀请杰出的算法达人加入腾讯。</p><p><br></p>,腾讯,520000,533,,竞技赛,商业,2018腾讯广告算法大赛,3,1528862399000
奖金,https://pu-datacastle.obs.cn-north-1.myhuaweicloud.com/content/disk/share/img/9aa44923-21e2-4d30-a63d-e1adab093ce5.jpg,结果提交型,回归,,1523808480000,205,joinable,<p>量子金服是国内领先的全托资管服务商，依托强大的技术实力，通过旗下QuantDesk平台打通数据、研究、投资、风控、配置，绩效等资产管理核心环节。帮助用户在中国金融行业产业升级的浪潮下，铸造长期竞争力。</p>,量子金服,53000,540,,竞技赛,金融,“量子杯”全国高校量化大赛,3,1537545599000
奖金,http://third.datacastle.cn/content/disk/share/img/98db53d0-e15d-497b-9deb-b623d9b5c85a.png,结果提交型,回归,,1521713100000,204,joinable,"<p>第二届智慧中国杯凤凰金融量化投资大赛
凤凰金融是凤凰卫视集团为全球华人打造的智能投资理财平台，志在创建互联网金融第一品牌。凤凰金融联合卓越的各类金融机构，深度挖掘优质金融资产，为用户提供优质、多元的投资理财产品和定制化的专业智能服务，打造更契合用户自身需求的财富管理方案。我们将人文情怀融入金融服务之中，为用户创造更多价值，为社会营造诚信健康的金融环境，有效推动普惠金融发展。截止2018年3月14日，凤凰金融客户670多万，遍布全球80多个国家和地区，累计成交金额超过680亿元。<br></p>",凤凰金融,80000,1187,,竞技赛,金融,凤凰金融量化投资大赛,3,1531065599000
奖金,http://third.datacastle.cn/pkbigdata/master.other.img/ee6ba0e7-3e6d-450f-96ce-0aff90ac7d99.png,结果提交型,分类,,1513735200000,197,joinable,"皇包车（HI GUIDES）是一个为中国出境游用户提供全球中文包车游服务的平台。拥有境外10万名华人司机兼导游（司导），覆盖全球90多个国家，1600多个城市，300多个国际机场。截止2017年6月，已累计服务400万中国出境游用户。
由于消费者消费能力逐渐增强、旅游信息不透明程度的下降，游客的行为逐渐变得难以预测，传统旅行社的旅游路线模式已经不能满足游客需求。如何为用户提供更受欢迎、更合适的包车游路线，就需要借助大数据的力量。结合用户个人喜好、景点受欢迎度、天气交通等维度，制定多套旅游信息化解决方案和产品。",皇包车,￥55000,1866,,竞技赛,商业,精品旅行服务成单预测,3,1518019199000
知识,http://third.datacastle.cn/pkbigdata/master.team.img/c10f9b5a-7f8c-492e-8b3c-56a46ea02e1a.png,结果提交型,,,1497337200000,182,joinable,大赛邀请国内外复杂网络领域顶级专家学者作为大赛的Academic Board Member，担任大赛评委并为大赛提供学术指导。通过大赛优秀实验报告互选达成进一步的论文合作以及访问交流。,DataCastle数据城堡,ABM合作,954,,竞技赛,其他,大师赛,3,1511884799000
职位,http://third.datacastle.cn/pkbigdata/master.team.img/ab279f13-a127-47d7-932c-a76ef9ecb528.jpg,结果提交型,其他,,1496282400000,180,joinable,某地食药监局需要按照总局要求对食品，药品按照国家相关规定进行检验检疫，但标准众多，分类各异，一线检验检疫人员为了快速的检索出某一类食品药品相关国家标准，地方标准，需要快速了解检测检疫标准的工具，该工具的首要工作就是将存在于各个文档中的标准提取出来，将非结构化数据转换成结构化数据，以便形成工具需要的数据集。,成都数之联科技有限公司,实习岗位,250,,竞技赛,其他,食品安全国家标准的精准化提取,3,1499702399000
奖金,http://img.datacastle.cn//pkbigdata/master.team.img/841caa79-d2a4-4e03-a76a-b69c8ea9b917.jpg,结果提交型,分类,,1478152800000,177,joinable,此竞赛为「智慧中国杯」初赛的“教育算法资格赛”。通过大数据挖掘与分析技术、数据建模理论帮助管理者掌握学生真实情况，以实现精准自助。,寻道科技有限公司,￥60000,5113,,竞技赛,教育,大学生助学金精准资助预测,3,1492963199000
奖金,http://img.datacastle.cn//pkbigdata/master.team.img/116ec85b-c631-497b-a315-028aeb2def9d.jpg,结果提交型,分类,,1478152800000,176,joinable,此竞赛为「智慧中国杯」初赛的“金融算法资格赛”。融360与平台上的金融机构合作，提供了贷款用户的基本身份信息、消费行为、银行还款等数据信息，需要参赛者以此建立准确的风险控制模型，以预测用户是否会逾期还款。,融360,￥60000,5849,,竞技赛,金融,用户贷款风险预测,3,1492963199000
奖金,http://img.datacastle.cn//pkbigdata/master.team.img/8ee763d6-c5aa-4733-9430-3b7d8ae17bd7.jpg,结果提交型,回归,,1478152800000,175,joinable,此竞赛为「智慧中国杯」初赛的“交通算法资格赛”。参赛者通过训练出租车GPS数据来分析道路交通状况，预测某辆车从一个地点经过某条路线到另一个地点所需要的时间。,成都优易数据有限公司,￥60000,4848,,竞技赛,交通,交通线路通达时间预测,3,1492963199000
知识,http://third.datacastle.cn/content/disk/share/img/f54ed862-b2a6-45a5-a8c4-d260f6c08bc5.jpg,结果提交型,推荐,,1476025275000,168,joinable,以某LBSN的移动历史作为数据，设计地点的推荐系统。数据集中提供了人们对地点的访问历史，还提供了地点的诸如类别，经纬度，所在城市等的基本信息。参赛者可以使用该数据集的任何数据，还可以使用数据之外，可以使用从互联网等渠道获得的各类数据。比赛的目标是效果最好的地点推荐系统。推荐系统用MAP(mean average precision)来评价。,DataCastle数据城堡,数据挖掘知识,961,,竞技赛,商业,地点推荐系统,3,1480435200000
奖金,http://third.datacastle.cn/master.other.img/banner/%E5%8D%A7%E9%BE%99%E7%AB%9E%E8%B5%9Bbanner%E7%AB%9E%E8%B5%9B%E5%88%97%E8%A1%A8.jpg,结果提交型,回归,,1472201543000,166,joinable,参赛者需要建立模型来模拟微博转发量的增长过程；然后将模型应用于“测试集的微博”，以预测它们转发量的增长。,成都知数科技有限公司,￥50000,1461,,竞技赛,媒体,微博热度预测,3,1481857200000
知识,http://third.datacastle.cn/master.other.img%2Fbanner%2F%E7%8C%9C%E4%BD%A0%E5%96%9C%E6%AC%A2.png,结果提交型,推荐,,1463451217000,163,joinable,通过对用户评分行为的分析，挖掘用户的兴趣及其变化规律，然后预测用户对其他商品的评分，也可以称为个性化商品推荐。,DataCastle数据城堡,DC定制礼品,1203,,竞技赛,商业,猜你喜欢,3,1468807200000
知识,http://third.datacastle.cn/master.other.img%2Fbanner%2F%E7%8C%AB%E7%8B%97%E5%A4%A7%E6%88%98.jpg,结果提交型,分类,,1459476000000,161,joinable,竞赛的目标是完成狗脸识别大法。区别于常见的人脸识别，这次的数据中狗的种类异常丰富，姿势也千奇百怪，不仅限于正脸，而且可能有其他物种伴随出现。,DataCastle数据城堡,机器学习知识,1061,,竞技赛,其他,猫狗大战,3,1467338400000
知识,http://third.datacastle.cn/content/disk/share/img/9c5441ad-3daa-442b-a89e-796796775414.jpg,结果提交型,其他,,1449277205000,150,joinable,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;This topic will address real network problems from biology, information and social networks with data of 6 networks, Requiring for the participants to understand the structure of the network and the &nbsp;principle of the network, and finally give an effective method to identify error connection in the &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; network.",多校数学建模联赛组委会,Documents,336,,竞技赛,其他,Identify the error connections in the network,3,1450054800000
奖金,"http://third.datacastle.cn/master.other.img%2Fbanner%2F%E7%8E%B0%E9%87%91%E5%B7%B4%E5%A3%AB.jpg
",结果提交型,分类,,1448467224000,148,joinable,基于用户多维度行为数据的微额网贷风险预测,微额速达（上海）金融信息服务有限公司,￥100000,5468,,竞技赛,金融,微额借款用户人品预测大赛,3,1456761599000
奖金,"http://third.datacastle.cn/master.other.img%2Fbanner%2F%E8%81%8C%E4%BD%8D%E9%A2%84%E6%B5%8B%E7%AB%9E%E8%B5%9B.png
",结果提交型,分类,,1442998962000,147,joinable,基于简历数据的职位预测,数联寻英,￥50000,1317,,竞技赛,人力资源,职位预测竞赛,3,1450574002000
知识,http://third.datacastle.cn/master.other.img/logo/2.jpg,结果提交型,,,1442910892000,146,joinable,"竞赛使用经典密码学里面的4种经典算法，按照难度，每一种密码算法给出的明文和密文对的数量不一致，但是都能保证能够解密出正确的密文或者解析出正确的密钥。
竞赛使用的加密算法：
1、凯撒密码
2、维吉尼亚密码
3、MD5算法
4、DES算法",DataCastle数据城堡,DC定制T恤,198,,竞技赛,网络安全,矛与盾,3,1449763199000
知识,http://third.datacastle.cn/content/disk/share/img/88d6a843-21ec-42e0-a025-3317144f45d8.jpg,结果提交型,回归,,1437062400000,143,joinable,大数据培训课程课后期练习项目,成都数道教育咨询有限公司,学习资料,379,,竞技赛,其他,成电大数据培训实践,3,1439740800000
奖金,http://third.datacastle.cn/master.other.img/logo/7.jpg,结果提交型,回归,,1418288415000,127,joinable,通过学生的校园行为数据，挖掘规律，精准预测学生之间的相对排名。,电子科技大学大数据研究中心,￥50000,2058,,竞技赛,教育,学生成绩排名预测,3,1426175940000
奖金,http://third.datacastle.cn/master.other.img/logo/3.jpg,结果提交型,检索,,1418288416000,126,joinable,基于女装与鞋图片的图像搜索竞赛,电子科技大学大数据研究中心,￥50000,771,,竞技赛,商业,图像搜索竞赛,3,1426175940000
奖金,http://third.datacastle.cn/master.other.img/logo/6.jpg,结果提交型,推荐,,1409532933000,125,joinable,用户浏览新闻的模式分析及个性化新闻推荐, 中国计算机协会,￥100000,1345,,竞技赛,媒体,CCF大数据竞赛,3,1416067199000
奖金,http://third.datacastle.cn/master.other.img/logo/9.jpg,结果提交型,分类,,1437321600000,104,joinable,本次大赛共提供6种类型的验证码，参赛者可选取其中一类或多类参赛。参赛者建立算法模型，对所选的验证码进行识别后，输出结果，系统根据识别的正确率计算得分和排名。,电子科技大学大数据研究中心,￥100000,1155,,竞技赛,网络安全,验证码识别竞赛,3,1444665599000
奖金,http://third.datacastle.cn/content/disk/share/img/f56eb647-906c-44e1-b2a6-b6c941545433.jpg,创意型,,,1542643200000,271,history,<p>“JDD-2018京东数字科技全球探索者大赛”致力于成为连接技术精英与产业界的桥梁，直面真实应用场景设计赛题，邀请国内外AI与数据专家、产业界领军人物、知名投资人担任专业导师和评委，共同打造一场距离产业界最近的顶级赛事。<br></p>,京东数字科技,2200000,2568,,竞技赛,其他,JDD-2018京东数字科技全球探索者大赛,4,1547371800000
